Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkout,Chrome 121.0.0.0,,,14-02-2024 00:16:14,14-02-2024 00:18:09,1m - 54.672s,PASSED
,,,,,,,
Test Cases/remove_checkout,Chrome 121.0.0.0,,,14-02-2024 00:16:15,14-02-2024 00:17:20,1m - 5.905s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,14-02-2024 00:16:16,14-02-2024 00:16:23,6.740s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,14-02-2024 00:16:23,14-02-2024 00:16:26,3.619s,PASSED
"click(findTestObject(""Object Repository/remove_item/Page_Advantage Shopping/a_My account My orde_124641""))",Chrome 121.0.0.0,,,14-02-2024 00:16:26,14-02-2024 00:16:31,4.495s,PASSED
"setText(findTestObject(""Object Repository/remove_item/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,14-02-2024 00:16:31,14-02-2024 00:16:32,1.495s,PASSED
"setText(findTestObject(""Object Repository/remove_item/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,14-02-2024 00:16:32,14-02-2024 00:16:35,3.084s,PASSED
"click(findTestObject(""Object Repository/remove_item/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,14-02-2024 00:16:35,14-02-2024 00:16:37,1.769s,PASSED
"click(findTestObject(""Object Repository/remove_item/Page_Advantage Shopping/span_TABLETS""))",Chrome 121.0.0.0,,,14-02-2024 00:16:37,14-02-2024 00:16:38,1.222s,PASSED
"click(findTestObject(""Object Repository/remove_item/Page_Advantage Shopping/img_SHOP NOW_16""))",Chrome 121.0.0.0,,,14-02-2024 00:16:38,14-02-2024 00:16:45,6.675s,PASSED
"click(findTestObject(""Object Repository/remove_item/Page_Advantage Shopping/button_ADD TO CART""))",Chrome 121.0.0.0,,,14-02-2024 00:16:45,14-02-2024 00:17:12,26.887s,PASSED
"click(findTestObject(""Object Repository/remove_item/Page_Advantage Shopping/a_1""))",Chrome 121.0.0.0,,,14-02-2024 00:17:12,14-02-2024 00:17:16,3.880s,PASSED
"click(findTestObject(""Object Repository/remove_item/Page_Advantage Shopping/a_REMOVE""))",Chrome 121.0.0.0,,,14-02-2024 00:17:16,14-02-2024 00:17:18,2.508s,PASSED
"pathObjekHapusItem = ""Object Repository/remove_item/Page_Advantage Shopping/a_REMOVE""",Chrome 121.0.0.0,,,14-02-2024 00:17:18,14-02-2024 00:17:18,0.032s,PASSED
